,id,satno,cosparId,objectClass,mass,xSectAvg
17030,45460,45460.0,2020-021A,Payload,500.0,0.446
17031,45461,45461.0,2020-021B,Payload,500.0,0.446
17032,45462,45462.0,2020-021C,Payload,500.0,0.446
17033,45463,45463.0,2020-021D,Rocket Body,3800.0,24.113883461251
17034,45465,45465.0,2020-022B,Payload,6200.0,35.0273333333333
17035,45466,45466.0,2020-022C,Rocket Body,2020.0,32.2602295615502
17036,45468,45468.0,1961-028N,Payload Mission Related Object,,
17037,45469,45469.0,1991-056CU,Rocket Fragmentation Debris,,
17038,45471,45471.0,2018-079BT,Rocket Fragmentation Debris,,
17039,45472,45472.0,2018-079BU,Rocket Fragmentation Debris,,
17040,45473,45473.0,2018-079BV,Rocket Fragmentation Debris,,
17041,45474,45474.0,2018-079BW,Rocket Fragmentation Debris,,
17042,45475,45475.0,2018-079BX,Rocket Fragmentation Debris,,
17043,4547,4547.0,1969-082GN,Rocket Fragmentation Debris,,
17044,45483,45483.0,2018-034L,Rocket Mission Related Object,,
17045,45484,45484.0,2018-034M,Payload Mission Related Object,,
17046,45489,45489.0,2012-044DW,Rocket Fragmentation Debris,,
17047,45491,45491.0,2012-044DY,Rocket Fragmentation Debris,,
17048,45492,45492.0,2012-044DZ,Rocket Fragmentation Debris,,
17049,45493,45493.0,2010-041AP,Rocket Fragmentation Debris,,
17050,45494,45494.0,2010-041AQ,Rocket Fragmentation Debris,,
17051,45497,45497.0,2010-041AT,Rocket Fragmentation Debris,,
17052,45499,45499.0,2010-041AV,Rocket Fragmentation Debris,,
17053,45500,45500.0,1980-073U,Payload Fragmentation Debris,,
17054,45501,45501.0,1980-073V,Payload Fragmentation Debris,,
17055,45502,45502.0,1980-073W,Payload Fragmentation Debris,,
17056,45503,45503.0,1972-022F,Payload Debris,,
17057,45504,45504.0,1973-109C,Payload Debris,,
17058,45505,45505.0,1974-048C,Payload Debris,,
17059,45506,45506.0,1977-013C,Payload Debris,,
17060,45507,45507.0,1979-095CP,Payload Fragmentation Debris,,
17061,45508,45508.0,1979-095CQ,Payload Fragmentation Debris,,
17062,45509,45509.0,1979-095CR,Payload Fragmentation Debris,,
17063,45510,45510.0,1979-095CS,Payload Fragmentation Debris,,
17064,45511,45511.0,1979-095CT,Payload Fragmentation Debris,,
17065,45512,45512.0,1979-095CU,Payload Fragmentation Debris,,
